    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
220 |                                |  71             2965 2.620e-05 |  71              148 2.274e-06 |  71              141 1.643e-06 |
240 |                                |  78             3304 2.524e-05 |  78              171 2.524e-06 |  78              155 1.744e-06 |
260 |                                |  82             5433 4.850e-05 |  82              179 2.635e-06 |  82              163 1.342e-06 |
280 |                                |  89            16207 1.101e-04 |  89              186 1.903e-06 |  89              177 1.473e-06 |
300 |                                |  95             7686 5.419e-05 |  95              201 1.994e-06 |  95              189 1.442e-06 |
320 |                                | 100             9271 8.066e-05 | 100              214 2.224e-06 | 100              199 1.533e-06 |
340 |                                | 109            14810 1.114e-04 | 109              233 2.114e-06 | 109              217 1.623e-06 |
360 |                                | 114            24016 1.880e-04 | 114              251 2.635e-06 | 114              227 1.593e-06 |
380 |                                | 119           206261 1.584e-03 | 119              259 2.524e-06 | 119              237 1.774e-06 |
400 |                                | 128           783754 4.999e-03 | 128              275 8.947e-06 | 128              255 3.507e-06 |
420 |                                | 133           518720 3.596e-03 | 133              298 4.308e-06 | 133              265 3.046e-06 |
440 |                                | 138           326561 2.211e-03 | 138              297 3.056e-06 | 138              275 3.046e-06 |
460 |                                | 145           235310 1.598e-03 | 145              309 2.926e-06 | 145              289 2.394e-06 |
480 |                                | 150           288418 2.128e-03 | 150              325 2.955e-06 | 150              299 2.174e-06 |
500 |                                | 156           358043 2.684e-03 | 156              331 4.408e-06 | 156              311 2.284e-06 |
520 |                                | 164           891918 5.882e-03 | 164              354 3.116e-06 | 164              327 2.284e-06 |
540 |                                | 168           939822 7.370e-03 | 168              385 3.998e-06 | 168              335 2.535e-06 |
560 |                                | 175          2376804 1.928e-02 | 175              373 3.747e-06 | 175              349 2.685e-06 |
580 |                                | 182          4224763 2.987e-02 | 182              393 3.867e-06 | 182              363 4.268e-06 |
600 |                                | 186          5427072 4.010e-02 | 186              406 4.118e-06 | 186              371 3.456e-06 |
620 |                                | 193         19101869 1.290e-01 | 193              411 5.450e-06 | 193              385 3.327e-06 |
640 |                                | 200         13465882 9.840e-02 | 200              434 7.725e-06 | 200              399 4.759e-06 |
660 |                                | 204         11987283 9.238e-02 | 204              435 8.046e-06 | 204              407 5.069e-06 |
680 |                                | 211         40445379 2.810e-01 | 211              447 9.027e-06 | 211              421 5.410e-06 |
700 |                                | 219         18456458 1.359e-01 | 219              470 8.436e-06 | 219              437 5.540e-06 |
720 |                                | 223         19378510 1.473e-01 | 223              475 8.716e-06 | 223              445 5.460e-06 |
740 |                                | 233         53381885 3.701e-01 | 233              497 9.257e-06 | 233              465 5.741e-06 |
760 |                                | 237         25664103 1.927e-01 | 237              509 9.257e-06 | 237              473 5.520e-06 |
780 |                                | 241         26401655 1.997e-01 | 241              513 9.047e-06 | 241              481 5.670e-06 |
800 |                                | 250         45250624 3.236e-01 | 250              532 1.006e-05 | 250              499 6.723e-06 |
--- + --- ---------------- --------- +
